order_id,order_date,region,product_name,units_sold,unit_price,cost,revenue,_processed_at,_row_id
26,2025-08-24,Northeast,Widget B,3,73.31,142.97,219.93,2026-06-19 00:44:43.088580,26
27,2025-05-27,Southeast,Tool Z,33,463.59,54.57,15298.47,2026-06-19 00:44:43.088580,27
28,2025-10-28,Northeast,Gadget Y,35,89.35,95.92,3127.25,2026-06-19 00:44:43.088580,28
29,2025-07-19,West,Gadget Y,24,440.85,133.84,10580.4,2026-06-19 00:44:43.088580,29
30,2025-06-11,Southeast,Widget A,36,328.72,119.62,11833.920000000002,2026-06-19 00:44:43.088580,30
31,2025-06-14,Southeast,Widget A,39,292.66,177.59,11413.740000000002,2026-06-19 00:44:43.088580,31
32,2025-03-24,Southwest,Widget B,26,378.16,97.4,9832.16,2026-06-19 00:44:43.088580,32
33,2025-02-03,Southeast,Tool Z,3,365.74,39.71,1097.22,2026-06-19 00:44:43.088580,33
34,2025-07-22,Northeast,Gadget X,43,64.16,46.84,2758.88,2026-06-19 00:44:43.088580,34
35,2025-11-21,Northeast,Gadget Y,23,499.74,169.98,11494.02,2026-06-19 00:44:43.088580,35
36,2025-01-24,Southeast,Gadget X,33,471.53,6.7,15560.49,2026-06-19 00:44:43.088580,36
37,2025-11-10,Southwest,Gadget X,45,449.33,174.48,20219.85,2026-06-19 00:44:43.088580,37
38,2025-10-30,Midwest,Gadget Y,18,314.92,15.84,5668.56,2026-06-19 00:44:43.088580,38
39,2025-04-12,Southwest,Tool Z,31,266.17,81.37,8251.27,2026-06-19 00:44:43.088580,39
40,2025-08-19,Southeast,Gadget X,1,272.78,161.03,272.78,2026-06-19 00:44:43.088580,40
41,2025-03-02,Southeast,Gadget X,44,17.32,84.48,762.08,2026-06-19 00:44:43.088580,41
42,2025-10-04,Northeast,Tool Z,3,254.74,165.36,764.22,2026-06-19 00:44:43.088580,42
43,2025-09-13,Southeast,Widget B,27,315.65,24.56,8522.55,2026-06-19 00:44:43.088580,43
44,2025-05-10,Midwest,Tool Z,18,332.77,104.75,5989.86,2026-06-19 00:44:43.088580,44
45,2025-01-25,Southwest,Gadget X,2,172.75,118.58,345.5,2026-06-19 00:44:43.088580,45
46,2025-12-21,Southeast,Tool Z,23,240.93,178.72,5541.39,2026-06-19 00:44:43.088580,46
47,2025-06-12,West,Gadget X,46,321.79,23.26,14802.34,2026-06-19 00:44:43.088580,47
48,2025-11-22,West,Gadget Y,9,219.87,71.03,1978.83,2026-06-19 00:44:43.088580,48
49,2025-09-05,Southeast,Widget B,15,481.45,133.57,7221.75,2026-06-19 00:44:43.088580,49
50,2025-10-12,Southwest,Gadget Y,10,355.67,196.09,3556.7000000000003,2026-06-19 00:44:43.088580,50
51,2025-10-05,Midwest,Widget B,7,10.62,170.41,74.33999999999999,2026-06-19 00:44:43.088580,51
52,2025-03-13,Northeast,Gadget Y,12,21.41,170.07,256.92,2026-06-19 00:44:43.088580,52
53,2025-05-13,Southwest,Gadget Y,29,348.25,105.85,10099.25,2026-06-19 00:44:43.088580,53
54,2025-06-20,Southwest,Gadget X,39,212.2,115.04,8275.8,2026-06-19 00:44:43.088580,54
55,2025-07-01,Northeast,Gadget X,34,421.34,172.42,14325.56,2026-06-19 00:44:43.088580,55
56,2025-01-16,Southwest,Widget B,38,94.78,174.58,3601.64,2026-06-19 00:44:43.088580,56
57,2025-07-19,Southwest,Gadget Y,36,16.78,161.44,604.08,2026-06-19 00:44:43.088580,57
58,2025-02-26,Southwest,Gadget X,19,200.16,164.62,3803.04,2026-06-19 00:44:43.088580,58
59,2025-09-29,Southeast,Gadget X,45,370.67,176.53,16680.15,2026-06-19 00:44:43.088580,59
60,2025-09-07,West,Widget A,9,486.15,27.19,4375.349999999999,2026-06-19 00:44:43.088580,60
61,2025-12-03,Midwest,Widget A,35,442.99,62.06,15504.65,2026-06-19 00:44:43.088580,61
62,2025-09-29,West,Widget A,6,247.2,195.34,1483.1999999999998,2026-06-19 00:44:43.088580,62
63,2025-05-14,West,Tool Z,38,408.28,111.23,15514.64,2026-06-19 00:44:43.088580,63
64,2025-12-20,West,Tool Z,5,44.46,39.41,222.3,2026-06-19 00:44:43.088580,64
65,2025-05-30,Midwest,Widget A,11,290.41,103.1,3194.51,2026-06-19 00:44:43.088580,65
66,2025-04-29,West,Widget A,20,462.91,130.93,9258.2,2026-06-19 00:44:43.088580,66
67,2025-11-27,Midwest,Gadget Y,35,204.23,166.5,7148.049999999999,2026-06-19 00:44:43.088580,67
68,2025-05-16,Northeast,Gadget X,3,480.45,163.37,1441.35,2026-06-19 00:44:43.088580,68
69,2025-01-28,Northeast,Widget B,13,118.14,14.6,1535.82,2026-06-19 00:44:43.088580,69
70,2025-06-21,Southwest,Gadget Y,17,61.76,93.44,1049.92,2026-06-19 00:44:43.088580,70
71,2025-10-18,Southwest,Widget B,36,267.13,9.01,9616.68,2026-06-19 00:44:43.088580,71
72,2025-03-11,Midwest,Widget A,48,454.55,178.19,21818.4,2026-06-19 00:44:43.088580,72
73,2025-06-18,Northeast,Widget B,31,162.53,38.91,5038.43,2026-06-19 00:44:43.088580,73
74,2025-02-17,West,Tool Z,25,402.08,126.85,10052.0,2026-06-19 00:44:43.088580,74
75,2025-09-08,Northeast,Gadget Y,17,92.91,116.27,1579.47,2026-06-19 00:44:43.088580,75
76,2025-06-23,Southeast,Widget A,41,375.33,126.98,15388.53,2026-06-19 00:44:43.088580,76
77,2025-05-01,Southeast,Gadget X,6,282.94,114.87,1697.64,2026-06-19 00:44:43.088580,77
78,2025-03-24,Northeast,Tool Z,7,95.76,144.54,670.32,2026-06-19 00:44:43.088580,78
79,2025-07-26,Southwest,Tool Z,10,361.86,127.09,3618.6,2026-06-19 00:44:43.088580,79
80,2025-09-02,Midwest,Gadget Y,14,359.74,22.61,5036.360000000001,2026-06-19 00:44:43.088580,80
81,2025-12-10,Southeast,Widget A,23,262.56,76.52,6038.88,2026-06-19 00:44:43.088580,81
82,2025-06-09,Midwest,Widget B,47,120.48,111.59,5662.56,2026-06-19 00:44:43.088580,82
83,2025-02-28,Northeast,Widget B,32,74.82,68.41,2394.24,2026-06-19 00:44:43.088580,83
84,2025-10-31,Midwest,Widget A,19,479.05,153.26,9101.95,2026-06-19 00:44:43.088580,84
85,2025-08-18,Midwest,Widget A,11,331.35,66.99,3644.85,2026-06-19 00:44:43.088580,85
86,2025-09-13,Southeast,Widget B,32,406.53,166.59,13008.96,2026-06-19 00:44:43.088580,86
87,2025-02-05,Southwest,Gadget X,13,351.52,33.61,4569.76,2026-06-19 00:44:43.088580,87
88,2025-04-25,Southeast,Widget B,48,416.44,155.03,19989.12,2026-06-19 00:44:43.088580,88
89,2025-10-08,Northeast,Gadget X,24,89.62,40.78,2150.88,2026-06-19 00:44:43.088580,89
90,2025-10-31,Midwest,Widget B,27,253.51,107.96,6844.77,2026-06-19 00:44:43.088580,90
91,2025-06-08,Southwest,Widget A,45,336.89,67.5,15160.05,2026-06-19 00:44:43.088580,91
92,2025-10-21,Southeast,Tool Z,15,60.66,129.28,909.9,2026-06-19 00:44:43.088580,92
93,2025-11-04,Northeast,Gadget X,24,83.48,46.48,2003.52,2026-06-19 00:44:43.088580,93
94,2025-05-22,Southwest,Widget B,27,320.65,160.1,8657.55,2026-06-19 00:44:43.088580,94
95,2025-11-24,Midwest,Tool Z,14,435.67,116.85,6099.38,2026-06-19 00:44:43.088580,95
96,2025-04-16,Northeast,Tool Z,3,333.6,191.67,1000.8,2026-06-19 00:44:43.088580,96
97,2025-03-29,West,Tool Z,14,27.74,143.8,388.36,2026-06-19 00:44:43.088580,97
98,2025-09-07,Southeast,Widget A,6,485.51,123.44,2913.06,2026-06-19 00:44:43.088580,98
99,2025-08-21,Southwest,Gadget Y,34,78.36,166.69,2664.24,2026-06-19 00:44:43.088580,99
100,2025-02-21,Southeast,Tool Z,1,123.96,47.84,123.96,2026-06-19 00:44:43.088580,100
101,2025-10-31,Midwest,Tool Z,16,487.73,128.38,7803.68,2026-06-19 00:44:43.088580,101
102,2025-03-14,Midwest,Widget B,44,387.81,81.13,17063.64,2026-06-19 00:44:43.088580,102
103,2025-10-21,Southeast,Tool Z,28,468.92,150.04,13129.76,2026-06-19 00:44:43.088580,103
104,2025-01-03,Midwest,Gadget X,33,405.24,9.77,13372.92,2026-06-19 00:44:43.088580,104
105,2025-10-18,Northeast,Gadget X,33,329.35,88.4,10868.55,2026-06-19 00:44:43.088580,105
106,2025-10-15,West,Gadget X,15,149.43,132.08,2241.4500000000003,2026-06-19 00:44:43.088580,106
107,2025-10-12,West,Gadget Y,31,170.17,94.82,5275.27,2026-06-19 00:44:43.088580,107
108,2025-08-31,Southwest,Widget A,11,474.16,51.4,5215.76,2026-06-19 00:44:43.088580,108
109,2025-06-22,Southeast,Gadget X,32,431.71,95.55,13814.72,2026-06-19 00:44:43.088580,109
110,2025-09-15,Southeast,Tool Z,34,186.15,170.7,6329.1,2026-06-19 00:44:43.088580,110
111,2025-04-12,Midwest,Gadget X,43,192.9,45.33,8294.7,2026-06-19 00:44:43.088580,111
112,2025-10-12,West,Widget B,46,155.87,76.6,7170.02,2026-06-19 00:44:43.088580,112
113,2025-07-22,Southwest,Widget A,2,169.8,198.12,339.6,2026-06-19 00:44:43.088580,113
114,2025-06-17,Northeast,Gadget X,15,431.73,183.0,6475.950000000001,2026-06-19 00:44:43.088580,114
115,2025-07-04,Southeast,Gadget Y,27,15.15,11.62,409.05,2026-06-19 00:44:43.088580,115
116,2025-07-27,Southeast,Gadget X,16,223.67,108.41,3578.72,2026-06-19 00:44:43.088580,116
117,2025-01-14,Southeast,Tool Z,31,471.99,17.76,14631.69,2026-06-19 00:44:43.088580,117
118,2025-02-21,Midwest,Gadget Y,42,275.89,185.16,11587.38,2026-06-19 00:44:43.088580,118
119,2025-03-31,Southwest,Gadget X,13,230.72,91.1,2999.36,2026-06-19 00:44:43.088580,119
120,2025-02-11,Northeast,Widget A,44,163.06,86.6,7174.64,2026-06-19 00:44:43.088580,120
121,2025-06-10,Southwest,Gadget X,44,46.22,58.22,2033.68,2026-06-19 00:44:43.088580,121
122,2025-09-01,West,Widget A,45,120.0,115.92,5400.0,2026-06-19 00:44:43.088580,122
123,2025-08-27,West,Gadget Y,4,54.32,33.27,217.28,2026-06-19 00:44:43.088580,123
124,2025-06-21,West,Widget A,15,72.08,160.8,1081.2,2026-06-19 00:44:43.088580,124
125,2025-11-09,Northeast,Tool Z,7,90.12,100.79,630.84,2026-06-19 00:44:43.088580,125
126,2025-07-26,West,Widget B,6,157.99,115.46,947.94,2026-06-19 00:44:43.088580,126
127,2025-01-29,Southeast,Gadget X,3,15.4,168.96,46.2,2026-06-19 00:44:43.088580,127
128,2025-10-07,Midwest,Widget A,22,475.57,41.1,10462.54,2026-06-19 00:44:43.088580,128
129,2025-07-29,West,Widget B,5,70.67,39.16,353.35,2026-06-19 00:44:43.088580,129
130,2025-08-20,West,Tool Z,15,197.74,87.06,2966.1000000000004,2026-06-19 00:44:43.088580,130
131,2025-07-26,Southeast,Widget B,49,440.97,158.3,21607.53,2026-06-19 00:44:43.088580,131
132,2025-07-22,Southeast,Gadget X,44,62.22,16.42,2737.68,2026-06-19 00:44:43.088580,132
133,2025-02-03,Midwest,Tool Z,46,246.97,160.06,11360.62,2026-06-19 00:44:43.088580,133
134,2025-07-24,Northeast,Gadget Y,2,423.94,102.65,847.88,2026-06-19 00:44:43.088580,134
135,2025-10-18,West,Widget A,33,282.91,114.54,9336.03,2026-06-19 00:44:43.088580,135
136,2025-04-21,Northeast,Widget B,32,113.07,115.06,3618.24,2026-06-19 00:44:43.088580,136
137,2025-08-09,Midwest,Widget B,7,370.4,15.95,2592.8,2026-06-19 00:44:43.088580,137
138,2025-01-12,West,Widget B,45,343.86,53.71,15473.7,2026-06-19 00:44:43.088580,138
139,2025-05-07,Northeast,Widget B,20,187.47,152.28,3749.4,2026-06-19 00:44:43.088580,139
140,2025-06-09,Southwest,Gadget X,48,32.68,85.39,1568.64,2026-06-19 00:44:43.088580,140
141,2025-12-25,Southeast,Widget B,6,13.85,114.3,83.1,2026-06-19 00:44:43.088580,141
142,2025-03-20,Northeast,Widget B,32,414.44,189.25,13262.08,2026-06-19 00:44:43.088580,142
143,2025-04-11,West,Gadget X,7,167.56,14.02,1172.92,2026-06-19 00:44:43.088580,143
144,2025-05-30,Midwest,Widget B,47,77.51,92.69,3642.97,2026-06-19 00:44:43.088580,144
145,2025-12-29,West,Widget B,30,264.09,75.45,7922.699999999999,2026-06-19 00:44:43.088580,145
146,2025-11-08,West,Gadget X,4,461.21,25.76,1844.84,2026-06-19 00:44:43.088580,146
147,2025-01-13,Midwest,Tool Z,11,14.16,190.4,155.76,2026-06-19 00:44:43.088580,147
148,2025-03-27,Southwest,Gadget X,18,37.51,192.48,675.18,2026-06-19 00:44:43.088580,148
149,2025-10-27,Southeast,Gadget X,1,214.35,65.74,214.35,2026-06-19 00:44:43.088580,149
150,2025-01-22,Midwest,Tool Z,1,341.22,189.61,341.22,2026-06-19 00:44:43.088580,150
151,2025-11-09,Northeast,Gadget Y,46,243.29,11.86,11191.34,2026-06-19 00:44:43.088580,151
152,2025-04-13,West,Widget B,49,449.8,196.27,22040.2,2026-06-19 00:44:43.088580,152
153,2025-12-01,Southeast,Widget B,27,31.6,168.01,853.2,2026-06-19 00:44:43.088580,153
154,2025-04-18,West,Gadget X,45,176.67,46.79,7950.15,2026-06-19 00:44:43.088580,154
155,2025-06-08,Southwest,Gadget X,33,182.16,121.91,6011.28,2026-06-19 00:44:43.088580,155
156,2025-08-30,Southwest,Widget A,2,176.66,160.67,353.32,2026-06-19 00:44:43.088580,156
157,2025-02-16,Southwest,Widget A,36,248.97,67.26,8962.92,2026-06-19 00:44:43.088580,157
158,2025-07-23,Northeast,Widget B,1,397.38,73.98,397.38,2026-06-19 00:44:43.088580,158
159,2025-07-04,Northeast,Tool Z,41,165.76,127.65,6796.16,2026-06-19 00:44:43.088580,159
160,2025-10-14,Southwest,Gadget Y,18,374.8,33.68,6746.400000000001,2026-06-19 00:44:43.088580,160
161,2025-12-30,Southeast,Tool Z,7,81.77,28.05,572.39,2026-06-19 00:44:43.088580,161
162,2025-08-31,Northeast,Widget A,13,284.76,53.71,3701.88,2026-06-19 00:44:43.088580,162
163,2025-05-30,Southeast,Gadget X,34,193.79,149.55,6588.86,2026-06-19 00:44:43.088580,163
164,2025-05-29,Southwest,Gadget X,42,274.21,76.49,11516.82,2026-06-19 00:44:43.088580,164
165,2025-06-02,Southeast,Gadget X,28,62.8,103.93,1758.4,2026-06-19 00:44:43.088580,165
166,2025-10-25,Northeast,Gadget X,8,477.2,43.11,3817.6,2026-06-19 00:44:43.088580,166
167,2025-04-28,West,Widget B,45,454.04,42.85,20431.8,2026-06-19 00:44:43.088580,167
168,2025-03-02,Northeast,Widget A,39,414.93,131.84,16182.27,2026-06-19 00:44:43.088580,168
169,2025-05-03,Southeast,Tool Z,21,447.46,26.13,9396.66,2026-06-19 00:44:43.088580,169
170,2025-01-09,Northeast,Tool Z,28,81.88,135.23,2292.64,2026-06-19 00:44:43.088580,170
171,2025-02-08,West,Widget A,48,256.82,83.14,12327.36,2026-06-19 00:44:43.088580,171
172,2025-02-02,Midwest,Gadget X,19,165.78,135.9,3149.82,2026-06-19 00:44:43.088580,172
173,2025-10-09,Southwest,Gadget X,2,444.82,79.44,889.64,2026-06-19 00:44:43.088580,173
174,2025-09-21,Southeast,Gadget Y,8,102.82,169.98,822.56,2026-06-19 00:44:43.088580,174
175,2025-09-12,Southeast,Tool Z,30,117.77,15.83,3533.1,2026-06-19 00:44:43.088580,175
176,2025-06-18,Northeast,Gadget X,49,346.49,179.19,16978.010000000002,2026-06-19 00:44:43.088580,176
177,2025-09-19,Southeast,Gadget Y,37,53.56,57.39,1981.72,2026-06-19 00:44:43.088580,177
178,2025-02-28,Midwest,Tool Z,31,368.86,13.3,11434.66,2026-06-19 00:44:43.088580,178
179,2025-11-25,Northeast,Tool Z,16,141.38,114.67,2262.08,2026-06-19 00:44:43.088580,179
180,2025-07-02,Midwest,Widget B,22,333.86,48.75,7344.92,2026-06-19 00:44:43.088580,180
181,2025-12-09,Southwest,Tool Z,2,437.79,94.54,875.58,2026-06-19 00:44:43.088580,181
182,2025-02-25,West,Gadget X,19,308.71,161.45,5865.49,2026-06-19 00:44:43.088580,182
183,2025-07-01,West,Widget A,31,114.22,159.35,3540.82,2026-06-19 00:44:43.088580,183
184,2025-09-12,Southwest,Gadget Y,45,34.09,122.08,1534.0500000000002,2026-06-19 00:44:43.088580,184
185,2025-06-30,West,Tool Z,46,31.86,195.69,1465.56,2026-06-19 00:44:43.088580,185
186,2025-06-12,West,Widget B,41,53.52,95.43,2194.32,2026-06-19 00:44:43.088580,186
187,2025-03-02,Southwest,Gadget X,2,294.11,12.68,588.22,2026-06-19 00:44:43.088580,187
188,2025-05-20,Northeast,Widget B,40,180.63,164.79,7225.2,2026-06-19 00:44:43.088580,188
189,2025-03-29,Southwest,Widget A,11,129.12,48.15,1420.3200000000002,2026-06-19 00:44:43.088580,189
190,2025-04-21,Southeast,Tool Z,31,117.46,39.37,3641.26,2026-06-19 00:44:43.088580,190
191,2025-09-07,West,Widget A,47,474.8,18.65,22315.6,2026-06-19 00:44:43.088580,191
192,2025-08-19,Southwest,Gadget X,44,68.22,68.94,3001.68,2026-06-19 00:44:43.088580,192
193,2025-08-10,Midwest,Widget A,33,159.36,68.6,5258.88,2026-06-19 00:44:43.088580,193
194,2025-05-13,Northeast,Gadget Y,15,241.02,64.04,3615.3,2026-06-19 00:44:43.088580,194
195,2025-12-17,Southeast,Tool Z,26,10.22,120.67,265.72,2026-06-19 00:44:43.088580,195
196,2025-02-01,Midwest,Gadget Y,35,461.27,151.55,16144.45,2026-06-19 00:44:43.088580,196
197,2025-05-06,Southwest,Gadget Y,26,58.56,187.86,1522.56,2026-06-19 00:44:43.088580,197
198,2025-02-13,Southwest,Tool Z,20,344.41,23.34,6888.200000000001,2026-06-19 00:44:43.088580,198
199,2025-05-04,Midwest,Tool Z,20,318.14,34.32,6362.799999999999,2026-06-19 00:44:43.088580,199
200,2025-12-18,Southwest,Tool Z,30,406.44,120.02,12193.2,2026-06-19 00:44:43.088580,200
201,2025-05-14,Midwest,Widget B,2,329.18,24.14,658.36,2026-06-19 00:44:43.088580,201
202,2025-11-28,Midwest,Gadget X,49,387.0,77.3,18963.0,2026-06-19 00:44:43.088580,202
203,2025-06-30,Southwest,Tool Z,6,216.41,126.79,1298.46,2026-06-19 00:44:43.088580,203
204,2025-09-13,West,Widget B,49,249.47,157.21,12224.03,2026-06-19 00:44:43.088580,204
205,2025-06-16,Midwest,Gadget Y,2,353.81,47.43,707.62,2026-06-19 00:44:43.088580,205
206,2025-04-08,Midwest,Widget A,26,288.53,135.26,7501.779999999999,2026-06-19 00:44:43.088580,206
207,2025-10-06,West,Tool Z,21,260.65,130.94,5473.65,2026-06-19 00:44:43.088580,207
208,2025-12-20,West,Gadget Y,29,110.72,172.63,3210.88,2026-06-19 00:44:43.088580,208
209,2025-04-07,Midwest,Gadget Y,22,136.47,66.18,3002.34,2026-06-19 00:44:43.088580,209
210,2025-10-12,Northeast,Tool Z,44,185.66,151.27,8169.04,2026-06-19 00:44:43.088580,210
211,2025-04-06,Northeast,Widget B,1,14.55,151.64,14.55,2026-06-19 00:44:43.088580,211
212,2025-09-19,Northeast,Gadget X,49,214.51,51.64,10510.99,2026-06-19 00:44:43.088580,212
213,2025-10-15,Midwest,Tool Z,34,11.36,126.13,386.24,2026-06-19 00:44:43.088580,213
214,2025-06-14,West,Widget A,39,286.86,136.66,11187.54,2026-06-19 00:44:43.088580,214
215,2025-09-26,Southwest,Tool Z,7,354.97,58.51,2484.79,2026-06-19 00:44:43.088580,215
216,2025-04-10,Southeast,Widget B,4,285.45,93.1,1141.8,2026-06-19 00:44:43.088580,216
217,2025-01-29,West,Gadget X,20,349.82,89.98,6996.4,2026-06-19 00:44:43.088580,217
218,2025-02-05,West,Gadget X,16,10.01,155.83,160.16,2026-06-19 00:44:43.088580,218
219,2025-06-13,Northeast,Gadget Y,39,39.13,5.13,1526.0700000000002,2026-06-19 00:44:43.088580,219
220,2025-11-26,Southeast,Tool Z,44,352.25,102.7,15499.0,2026-06-19 00:44:43.088580,220
221,2025-02-16,Southeast,Widget B,21,403.42,40.95,8471.82,2026-06-19 00:44:43.088580,221
222,2025-06-16,Southwest,Widget A,38,361.67,131.13,13743.46,2026-06-19 00:44:43.088580,222
223,2025-09-14,Southwest,Gadget X,3,334.88,137.67,1004.64,2026-06-19 00:44:43.088580,223
224,2025-03-15,Southwest,Gadget Y,37,356.62,102.72,13194.94,2026-06-19 00:44:43.088580,224
225,2025-09-21,Midwest,Gadget Y,5,372.4,110.7,1862.0,2026-06-19 00:44:43.088580,225
226,2025-04-22,Midwest,Gadget Y,33,364.94,66.44,12043.02,2026-06-19 00:44:43.088580,226
227,2025-10-23,Southeast,Widget B,19,371.62,66.1,7060.78,2026-06-19 00:44:43.088580,227
228,2025-07-31,West,Tool Z,21,46.27,150.3,971.67,2026-06-19 00:44:43.088580,228
229,2025-07-19,Northeast,Widget A,14,41.0,30.69,574.0,2026-06-19 00:44:43.088580,229
230,2025-03-06,Southeast,Widget A,20,186.95,155.44,3739.0,2026-06-19 00:44:43.088580,230
231,2025-06-19,Northeast,Widget A,43,268.52,132.73,11546.36,2026-06-19 00:44:43.088580,231
232,2025-11-09,Midwest,Tool Z,40,383.68,177.47,15347.2,2026-06-19 00:44:43.088580,232
233,2025-01-08,Southeast,Widget A,17,174.01,55.73,2958.17,2026-06-19 00:44:43.088580,233
234,2025-10-04,Northeast,Gadget Y,15,144.81,103.7,2172.15,2026-06-19 00:44:43.088580,234
235,2025-06-29,Southeast,Tool Z,25,392.91,12.6,9822.75,2026-06-19 00:44:43.088580,235
236,2025-09-20,Southwest,Gadget Y,34,132.18,182.94,4494.12,2026-06-19 00:44:43.088580,236
237,2025-08-31,Midwest,Tool Z,9,412.21,136.7,3709.89,2026-06-19 00:44:43.088580,237
238,2025-06-07,Southwest,Widget A,36,96.8,126.46,3484.8,2026-06-19 00:44:43.088580,238
239,2025-04-23,Southwest,Gadget X,47,186.14,147.87,8748.58,2026-06-19 00:44:43.088580,239
240,2025-08-17,Southwest,Gadget X,42,206.53,60.44,8674.26,2026-06-19 00:44:43.088580,240
241,2025-02-21,Southeast,Gadget Y,27,156.76,122.75,4232.52,2026-06-19 00:44:43.088580,241
242,2025-08-02,Southwest,Gadget Y,16,11.64,161.18,186.24,2026-06-19 00:44:43.088580,242
243,2025-02-04,Southwest,Gadget X,16,125.4,22.61,2006.4,2026-06-19 00:44:43.088580,243
244,2025-08-26,Southwest,Widget B,37,175.45,191.97,6491.65,2026-06-19 00:44:43.088580,244
245,2025-08-18,Southeast,Widget A,23,163.68,178.92,3764.64,2026-06-19 00:44:43.088580,245
246,2025-01-31,Southeast,Gadget X,6,394.92,192.79,2369.52,2026-06-19 00:44:43.088580,246
247,2025-10-04,Midwest,Widget B,34,33.21,162.63,1129.14,2026-06-19 00:44:43.088580,247
248,2025-06-01,Southwest,Gadget X,7,200.58,62.39,1404.0600000000002,2026-06-19 00:44:43.088580,248
249,2025-10-15,Southwest,Gadget Y,49,28.38,118.4,1390.62,2026-06-19 00:44:43.088580,249
250,2025-01-16,Midwest,Gadget X,21,466.02,28.43,9786.42,2026-06-19 00:44:43.088580,250
251,2025-03-07,Northeast,Gadget X,17,397.2,152.06,6752.4,2026-06-19 00:44:43.088580,251
252,2025-06-30,Midwest,Widget A,3,491.26,34.96,1473.78,2026-06-19 00:44:43.088580,252
253,2025-03-10,West,Gadget Y,9,455.98,174.03,4103.82,2026-06-19 00:44:43.088580,253
254,2025-05-01,Midwest,Gadget X,47,164.75,51.91,7743.25,2026-06-19 00:44:43.088580,254
255,2025-08-30,Southeast,Widget A,27,348.88,36.28,9419.76,2026-06-19 00:44:43.088580,255
256,2025-02-22,Southeast,Widget B,45,160.21,18.83,7209.450000000001,2026-06-19 00:44:43.088580,256
257,2025-09-05,Northeast,Gadget Y,47,445.22,143.72,20925.34,2026-06-19 00:44:43.088580,257
258,2025-02-07,Southeast,Tool Z,3,211.27,41.31,633.8100000000001,2026-06-19 00:44:43.088580,258
259,2025-03-05,West,Gadget X,19,194.18,43.55,3689.42,2026-06-19 00:44:43.088580,259
260,2025-08-03,Southeast,Tool Z,42,457.89,38.09,19231.38,2026-06-19 00:44:43.088580,260
261,2025-10-17,Southwest,Widget A,25,420.0,64.63,10500.0,2026-06-19 00:44:43.088580,261
262,2025-03-04,Northeast,Widget B,25,483.54,188.54,12088.5,2026-06-19 00:44:43.088580,262
263,2025-04-20,Midwest,Tool Z,28,42.58,99.89,1192.24,2026-06-19 00:44:43.088580,263
264,2025-12-04,Midwest,Widget A,35,129.24,55.87,4523.400000000001,2026-06-19 00:44:43.088580,264
265,2025-12-28,Southwest,Gadget Y,46,157.42,38.23,7241.32,2026-06-19 00:44:43.088580,265
